Skyrius;Reiksme
Gyvūninės kilmės produktai;1242371.1
Augaliniai produktai;1130544.1
Gyvūniniai arba augaliniai riebalai ir aliejus;24272.3
Paruošti maisto produktai, nealkoholiniai ir alkoholiniai gėrimai, tabakas;1623722.7
Chemijos pramonė;1487490.1
Plastikai ir jų dirbiniai;1398101.7
Žalios odos, išdirbta oda, kailiai ir jų dirbiniai;53749.1
"Mediena ir medienos dirbiniaiarba iš kitų pynimo medžiagų; pintinės ir pinti dirbiniai";875162.4
Medžiagų plaušiena, popierius ir kartonas bei jų dirbiniai;339486.9
Tekstilės medžiagos ir tekstilės dirbiniai;766135.8
Avalynė, galvos apdangala;14209.3
Dirbiniai iš akmens, gipso, cemento, asbesto, stiklo dirbiniai;229222.2
Perlai, brangakmeniai, taurieji metalai, metalai;118141.0
Netaurieji metalai ir netauriųjų metalų dirbiniai;876215.4
Mašinos ir mechaniniai įrenginiai, elektros įrenginiai;1255292.9
Antžeminio, oro, vandens transporto priemonės;318658.1
Optikos, medicinos prietaisai, laikrodžiai;345989.3
Ginklai ir šaudmenys, jų dalys ir reikmenys;6418.0
Įvairūs pramonės dirbiniai;2120456.0
Meno kūriniai, kolekcionavimo objektai ir antikvariniai daiktai;470.0
Prekės, kurioms taikomos specialiosios klasifikavimo nuostatos;127055.9
